Id,Species,SepalLengthCm_0,SepalLengthCm_1,SepalLengthCm_2,SepalLengthCm_3,SepalLengthCm_4,SepalWidthCm_0,SepalWidthCm_1,SepalWidthCm_2,SepalWidthCm_3,SepalWidthCm_4,PetalLengthCm_0,PetalLengthCm_1,PetalLengthCm_2,PetalLengthCm_3,PetalLengthCm_4,PetalWidthCm_0,PetalWidthCm_1,PetalWidthCm_2,PetalWidthCm_3,PetalWidthCm_4
74,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
66,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
53,Iris-versicolor,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
102,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
3,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
69,Iris-versicolor,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
87,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
17,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
68,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
118,Iris-virginica,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
24,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
64,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
104,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
88,Iris-versicolor,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
16,Iris-setosa,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
72,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
26,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
23,Iris-setosa,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
99,Iris-versicolor,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
42,Iris-setosa,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
48,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
101,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
140,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
92,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
19,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
114,Iris-virginica,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
43,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
105,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
40,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
27,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
107,Iris-virginica,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
76,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
144,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
14,Iris-setosa,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
89,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
148,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
28,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
79,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
49,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
33,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
67,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
62,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
6,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
150,Iris-virginica,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
34,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
