Id,Species,SepalLengthCm_0,SepalLengthCm_1,SepalLengthCm_2,SepalLengthCm_3,SepalLengthCm_4,SepalWidthCm_0,SepalWidthCm_1,SepalWidthCm_2,SepalWidthCm_3,SepalWidthCm_4,PetalLengthCm_0,PetalLengthCm_1,PetalLengthCm_2,PetalLengthCm_3,PetalLengthCm_4,PetalWidthCm_0,PetalWidthCm_1,PetalWidthCm_2,PetalWidthCm_3,PetalWidthCm_4
11,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
104,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
74,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
68,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
123,Iris-virginica,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
119,Iris-virginica,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
77,Iris-versicolor,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
20,Iris-setosa,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
25,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
147,Iris-virginica,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
83,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
16,Iris-setosa,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
78,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
87,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
141,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
76,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
46,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
75,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
98,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
136,Iris-virginica,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
7,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
89,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
26,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
29,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
21,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
146,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
113,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
121,Iris-virginica,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
100,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
125,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
101,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
93,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
64,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
106,Iris-virginica,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
19,Iris-setosa,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
32,Iris-setosa,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
144,Iris-virginica,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
67,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
24,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
65,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
8,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
124,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
56,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
30,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
129,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
133,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
62,Iris-versicolor,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
53,Iris-versicolor,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
59,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
39,Iris-setosa,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
135,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
120,Iris-virginica,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
126,Iris-virginica,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
142,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
72,Iris-versicolor,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
116,Iris-virginica,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
103,Iris-virginica,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
43,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
27,Iris-setosa,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
134,Iris-virginica,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
